date,arrival,departure,slot_arrival,slot_departure,holiday_type
2002.7.6,26776,24405,,,1
2002.7.7,30838,30664,,,1
2002.7.8,28947,30495,,,0
2002.7.9,26649,26131,,,0
2002.7.10,28117,30531,,,0
2002.7.11,26507,31107,,,0
2002.7.12,30235,32976,,,0
2002.7.13,29901,32022,,,1
2002.7.14,31831,34669,,,1
2002.7.15,27704,32048,,,0
2002.7.16,23888,28116,,,0
2002.7.17,31188,33658,,,1
2002.7.18,27486,27447,,,0
2002.7.19,28922,30573,,,0
2002.7.20,30613,32240,,,1
2002.7.21,35218,31083,,,1
2002.7.22,28112,31366,,,0
2002.7.23,25781,30905,,,0
2002.7.24,30224,34181,,,0
2002.7.25,28618,34286,,,0
2002.7.26,30881,37554,,,0
2002.7.27,32210,37293,,,1
2002.7.28,36961,38583,,,1
2002.7.29,31650,38070,,,0
2002.7.30,29101,34434,,,0
2002.7.31,35352,41370,,,0
2002.8.1,33483,42483,,,0
2002.8.2,36436,40410,,,0
2002.8.3,40482,37522,,,1
2002.8.4,46928,36546,,,1
2002.8.5,41899,37050,,,0
2002.8.6,34335,32510,,,0
2002.8.7,39087,33078,,,0
2002.8.8,37527,32234,,,0
2002.8.9,37788,33857,,,0
2002.8.10,37150,35029,,,1
2002.8.11,43829,36279,,,1
2002.8.12,36655,34467,,,0
2002.8.13,32865,29723,,,0
2002.8.14,39448,37122,,,0
2002.8.15,38813,37914,,,1
2002.8.16,37900,34927,,,0
2002.8.17,37163,34216,,,1
2002.8.18,45622,33724,,,1
2002.8.19,42065,34557,,,0
2002.8.20,36487,29769,,,0
2002.8.21,38738,35257,,,0
2002.8.22,35126,32961,,,0
2002.8.23,37548,33631,,,0
2002.8.24,35001,33084,,,1
2002.8.25,41280,33706,,,1
2002.8.26,34571,33405,,,0
2002.8.27,29307,28930,,,0
2002.8.28,30815,32675,,,0
2002.8.29,28408,29677,,,0
2002.8.30,28511,31963,,,0
2002.8.31,26054,28962,,,1
2002.9.1,31697,30608,,,1
2002.9.2,27454,29772,,,0
2002.9.3,25010,26053,,,0
2002.9.4,27791,30419,,,0
2002.9.5,26100,29598,,,0
2002.9.6,30167,30818,,,0
2002.9.7,28536,26767,,,1
2002.9.8,33854,28750,,,1
2002.9.9,29088,27482,,,0
2002.9.10,26437,24908,,,0
2002.9.11,26592,25840,,,0
2002.9.12,26327,26943,,,0
2002.9.13,31276,27826,,,0
2002.9.14,32264,25263,,,1
2002.9.15,31927,26270,,,1
2002.9.16,27309,26888,,,0
2002.9.17,23501,22869,,,0
2002.9.18,24890,27152,,,0
2002.9.19,20515,36430,,,0
2002.9.20,21429,33963,,,3
2002.9.21,22212,16380,,,3
2002.9.22,36571,18706,,,3
2002.9.23,34638,25595,,,0
2002.9.24,27018,27404,,,0
2002.9.25,27051,31033,,,0
2002.9.26,24107,29153,,,0
2002.9.27,28310,32232,,,0
2002.9.28,29715,29384,,,1
2002.9.29,32769,29667,,,1
2002.9.30,30928,27753,,,0
2002.10.1,26512,24102,,,0
2002.10.2,27374,32673,,,0
2002.10.3,27543,33668,,,1
2002.10.4,27402,29818,,,0
2002.10.5,28445,29718,,,1
2002.10.6,37024,34157,,,1
2002.10.7,31395,30259,,,0
2002.10.8,25628,26131,,,0
2002.10.9,26577,29502,,,0
2002.10.10,27483,29859,,,0
2002.10.11,31188,31714,,,0
2002.10.12,35126,27800,,,1
2002.10.13,35445,30810,,,1
2002.10.14,28714,35493,,,0
2002.10.15,26401,30429,,,0
2002.10.16,27676,29441,,,0
2002.10.17,28962,29771,,,0
2002.10.18,32968,31852,,,0
2002.10.19,31700,27556,,,1
2002.10.20,36539,31554,,,1
2002.10.21,30320,31506,,,0
2002.10.22,25518,25863,,,0
2002.10.23,27172,27850,,,0
2002.10.24,27649,30108,,,0
2002.10.25,31019,32933,,,0
2002.10.26,29659,28467,,,1
2002.10.27,34251,32274,,,1
2002.10.28,29244,30507,,,0
2002.10.29,24449,24898,,,0
2002.10.30,25869,28257,,,0
2002.10.31,27854,27105,,,0
2002.11.1,28592,29745,,,0
2002.11.2,30665,24752,,,1
2002.11.3,33017,28387,,,1
2002.11.4,26882,32722,,,0
2002.11.5,22798,27613,,,0
